ques,factoid_ans,target-1,target-2,target-3,target-4
what is going live on tuesday ?,web-based on-demand television and movie service,the web-based on-demand television and movie service is going live on tuesday .,,,
what was the space station crew forced to take shelter from ?,a piece of debris,the space station crew was forced to take shelter from a piece of debris .,,,
who is sonia sotomayor ?,judge,sonia sotomayor is a judge .,sonia sotomayor is the judge .,,
where did lewis partnership begin ?,"started as a single shop on oxford street in london , opened in 1864 by john","lewis partnership began as a single shop on oxford street in london , opened in 1864 .","lewis partnership began as a single shop on oxford street in london , opened in 1864 by john .",,
what does gary go use for musical accompaniment ?,iphone apps,gary go use iphone apps for musical accompaniment .,,,
what is the album about ?,dragging you out of the bedroom and onto the dance floor,the album is about dragging you out of the bedroom and onto the dance floor .,,,
what will american airline will operate ?,normal flight schedules during the bankruptcy filing process .,american airline will operate normal flight schedules during the bankruptcy filing process .,,,
where does he play ?,in nine broadway and nine off-broadway productions,he plays in nine broadway and nine off-broadway productions .,,,
how many of shell 's pipeliens were attacked ?,two of,two of shell 's pipeliens were attacked .,,,
what borders are the supporters moving towards ?,pakistani,the supporters are moving towards pakistani borders .,,,
what is the current strength of the winds ?,140 mph,the current strength of the winds is 140 mph .,,,
how many were without power ?,"nearly 1,000 customers","nearly 1,000 customers were without power .","without power , there were nearly 1,000 customers .",,
where is nemanja vidic from ?,serbian,nemanja vidic is from serbia .,nemanja vidic is serbian .,,
who funds cell ?,saddam hussein 's eldest daughter,saddam hussein 's eldest daughter funds cell .,,,
what percentage approves so far ?,64 percent,64 percent approves so far,,,
what does she do ?,sings for her friend,she sings for her friend .,,,
where was the bus going ?,"phoenix , arizona","the bus was going to phoenix , arizona .",,,
who was a tough taskmaster at times ?,joseph jackson,joseph jackson was a tough taskmaster at times .,a  tough  taskmaster  at  times was joseph jackson .,,
how many have been put to death in 2011 ?,43,"in 2011 , 43 have been put to death .",43 have been put to death in 2011 .,,
what did canada complain of ?,alleged the kiwis lost on purpose,canada alleged the kiwis lost on purpose .,,,
what did the university say ?,investigation had found cases of plagiarism and falsification in previous papers by churchill,the university said investigation had found cases of plagiarism and falsification in previous papers by churchill .,the university said an investigation had found cases of plagiarism and falsification in previous papers by churchill .,,
what is his charge ?,aggravated child molestation,his charge is aggravated child molestation .,,,
who are also targeting tax revenue ?,wall street,wall street are also targeting tax revenue .,wall street is also targeting tax revenue .,,
where is the son in captivity ?,"baghdad , iraq","the son in captivity is in baghdad , iraq .",,,
what are they hoping to build ?,a new venue,they are hoping to build a new venue .,,,
who will be fourth poet to read at an inauguration ?,elizabeth alexander,elizabeth alexander will be fourth poet to read at an inauguration .,the fourth poet to read at an inauguration will be elizabeth alexander .,,
what is revolutionary road about ?,a powerfully unhappy connecticut couple,revolutionary road is about a powerfully unhappy connecticut couple .,"revolutionary road , about a powerfully unhappy connecticut couple .",,
who are they searching for ?,andal ampatuan jr,they are searching for andal ampatuan jr .,,,
what children were victims of the conflict,syrian,syrian children were victims of the conflict .,victims of the conflict were syrian childrens .,,
what age is james atwater,22-year-old,james atwater is 22-year-old .,,,
what kind of car did the woman in georgia drive ?,stick-shift,the woman in georgia drove a stick-shift car .,the woman in georgia drove a stick-shift kind of car .,,
who is moving from milan to parma ?,alberto paloschi,alberto paloschi is moving from milan to parma .,,,
what can be found for sale on web sites ?,"kits to learn how to side step security measures or create their own "" botnet "" - - r","on web sites , kits to learn how to side step security measures or create their own "" botnet "" can be found for sale","kits to learn how to side step security measures or create their own "" botnet "" - - r  can be found for sale on web sites.",,
who said the auto industry 's future is electric ?,gov . jennifer granholm,gov . jennifer granholm said the auto industry 's future is electric .,,,
what was a woman sentenced to under islamic law ?,200 lashes,"under islamic law , a woman was sentenced to 200 lashes",a woman was sentenced to 200 lashes under islamic law .,,
who flocks to longboat key ?,thousands of visitors from colder climates,thousands of visitors from colder climates flocks to longboat key .,,,
what is the league ?,champions,the league is champions .,,,
what are the timings to charge fee to enter london 's congestion zone ?,weekdays from 7 a.m. to 6 p.m.,the timings to charge fee to enter london 's congestion zone are weekdays from 7 a.m. to 6 p.m. .,the timings to charge fee to enter london 's congestion zone are on weekdays from 7 a.m. to 6 p.m. .,the timings charged to enter london 's congestion zone are on weekdays from 7 a.m. to 6 p.m. .,
what did the official say about the boy ?,is in very good mental and physical condition,the official said that the boy is in very good mental and physical condition .,,,
what are stimulant meds used to treat ?,attention deficit hyperactivity disorder,stimulant meds are used to treat attention deficit hyperactivity disorder .,,,
what happened to the pedestrian after they were struck ?,dragged for 17 miles,the pedestrian dragged for 17 miles after they were struck  .,the pedestrian were dragged for 17 miles after they were struck  .,being dragged for 17 miles is what happened to the pedestrian after they were struck .,
where is the non-profit remote area medical located ?,"knoxville , tenn","the non-profit remote area medical is located in knoxville , tenn .",,,
which ayatollah does the group oppose ?,people 's mujahedin,the group opposes the people 's mujahedin .,the group opposes the people 's mujahedin ayatollah .,the group does oppose the people 's mujahedin .,the group does oppose the people 's mujahedin ayatollah.
what was ronnie wood arrested for ?,suspicion of domestic assault,ronnie wood was arrested for suspicion of domestic assault .,ronnie wood was arrested on suspicion of domestic assault .,,
what does the uk foreign minister tell the ukraine ?,would welcome closer ties with the west,the uk foreign minister tells that the ukraine would welcome closer ties with the west .,the uk foreign minister has said the ukraine would welcome closer ties with the west .,,
who did germany beat ?,cyprus,germany beat cyprus .,,,
who failed the integrity test ?,nineteen of the 30 private sellers the undercover investigators dealt with,nineteen of the 30 private sellers the undercover investigators dealt with failed the integrity test .,,,
what did exxon mobil say ?,its refineries now meet the required epa standards on sulfur emissions,exxon mobil said its refineries now meet the required epa standards on sulfur emissions .,,,
what aims to prevent the brain process that leads to the disease ?,a pill containing the molecular compound,a pill containing the molecular compound aims to prevent the brain process that leads to the disease .,,,
how many were killed ?,183 people,183 people were killed .,,,
who makes tests public ?,the environmental working group,the environmental working group makes tests public .,,,
which countries were affected ?,"india , myanmar , thailand , indonesia and bangladesh","india , myanmar , thailand , indonesia and bangladesh were effected .",,,
what product has been recalled ?,colorful hearts teddy bears,the colorful hearts teddy bears have been recalled .,colorful hearts teddy bears have been recalled .,,
who sabatoged shell 's oil pipelines ?,heavily armed nigerian rebels,the heavily armed nigerian rebels sabatoged shell 's oil pipelines .,heavily armed nigerian rebels sabatoged shell 's oil pipelines .,,
what did the u.s. trade representative say about the decision ?,"will "" help pave the way toward more open trade . ""","the u.s. trade representative said they will "" help pave the way toward more open trade . "" .","the u.s. trade representative said that the decision will "" help pave the way toward more open trade . "" .",,
who is forcing the congress ?,enduring,enduring is forcing the congress .,,,
who beat cyprus 4 - 0 in hannover ?,germany,germany beat cyprus 4 - 0 in hannover .,,,
who held the hearings ?,house committee,the house committee held the hearings .,house committee  held  the hearings .,,
how many used cars were purchased in may ?,4 million,4 million used cars were purchased in may .,,,
how many people in zimbabwe have died from cholera ?,775,about 775 people in zimbabwe have died from cholera .,775 people in zimbabwe have died from cholera .,,
"what actress stars in the "" bedtime stories "" film ?",keri russell,"actress keri russell stars in the "" bedtime stories "" film .","keri russell stars in the "" bedtime stories "" film .",,
are the puzzles in the game challenging ?,not extremely,the puzzles in the game are not extremely challenging,,,
what was the number of people in the bus that crashed in sea utah ?,at least 50,the number of people in the bus that crashed in sea utah was at least 50 .,the number of people on the bus that crashed in sea utah was at least 50 .,,
"who carried out massive fugitive sweep , nab 1,250 fugitives in georgia ?",the u.s. marshals service,"the u.s. marshals service carried out massive fugitive sweep , nab 1,250 fugitives in georgia .","the u.s. marshals service carried out a massive fugitive sweep , nab 1,250 fugitives in georgia .",,
who tells kennedy not to take communion ?,bishop thomas tobin,bishop thomas tobin tells kennedy not to take communion .,,,
what are people not good at ?,texting while driving,people are not good at texting while driving .,,,
who is mcmahon ?,johnny carson 's sidekick,mcmahon is johnny carson 's sidekick .,,,
what was the age of olten ?,9-year-old,olten was 9-year-old .,the age of olten was 9-year .,,
what is the name of the film ?,""" watchmen ""","the name of the film is "" watchmen "" .",,,
what the analysts say ?,"to meet the low asking price , amazon will sell the kindle fire at a loss when it debuts on november 15 ,","the analysts say that to meet the low asking price , amazon will sell the kindle fire at a loss when it debuts on november 15 .","to meet the low asking price , amazon will sell the kindle fire at a loss when it debuts on november 15 , the  analysts say .",,
what are some charges john gotti is facing ?,"racketeering , conspiracy to commit murder and drug trafficking","some charges john gotti is facing are racketeering , conspiracy to commit murder and drug trafficking .","some charges john gotti is facing : racketeering , conspiracy to commit murder and drug trafficking .",,
how long is longboat key ?,at less than 11 miles in length,longboat key is at less than 11 miles in length .,longboat key is less than 11 miles in length .,,
who sat out after concussion ?,the former spartak moscow,the former spartak moscow sat out after concussion .,the former spartak moscow sat out after a concussion .,,
who owned the bus ?,arrow stage lines,arrow stage lines owned the bus .,,,
what was the bridge constructed for ?,where pilgrims can toss stones,the bridge was constructed for pilgrims who can toss stones .,the bridge was constructed where pilgrims could toss stones .,the bridge was constructed for pilgrims who could toss stones .,
what were the masterpieces worth ?,70 million francs ( $ 64 million ),the masterpieces were worth 70 million francs ( $ 64 million ) .,the masterpieces are worth 70 million francs ( $ 64 million ) .,,
how many adults die each year of tobacco-caused diseases ?,4 million,4 million adults die each year of tobacco-caused diseases .,4 million adults die each year of tobacco - caused diseases .,,
what is her name ?,kristie lu stout,her name is kristie lu stout .,,,
what did polaroid ceo say ?,""" we expect to continue our operations as normal during the reorganization and are planning for new product launches in 2009 , ""","polaroid ceo said "" we expect to continue our operations as normal during the reorganization and are planning for new product launches in 2009 , "" .","polaroid ceo say "" we expect to continue our operations as normal during the reorganization and are planning for new product launches in 2009 , "" .",,
what nfl players are missing ?,marquis cooper,"the nfl player , cooper marquis , is missing .",marquis cooper nfl  players are missing .,nfl players are missing marquis cooper .,
what did she do on weekends ?,cleaning office buildings,she cleaned office buildings on weekends .,"She on weekends , cleans office buildings .",,
what does the fake story insult ?,survivors,the fake story insults survivors .,,,
what is happening about her reality tv show,suleman will handle the camera,suleman will handle the camera in her reality tv show .,suleman will handle the camera events for her reality tv show .,,
how much did they pay off ?,"$46,244","they pay off $ 46,244 .","they paid off $ 46,244 .",,
who owns the stadium ?,a fans ' collective,a fans ' collective owns the stadium .,a fans ' team owns the stadium .,,
what happened during the rally ?,thousands of protesters battled riot police,thousands of protesters battled riot police during the rally .,,,
who is saddam hussein 's eldest daughter ?,raghad,raghad is saddam hussein 's eldest daughter .,saddam hussein 's eldest daughter is raghad .,,
who was held without bail ?,""" junior "" gotti",""" junior "" gotti was held without bail .",,,
what is the name of the mountain ?,logan peak,the name of the mountain is logan peak .,,,
what reached record levels last year ?,drug-related killings,drug-related killings reached record levels last year .,,,
who was the photo of ?,a bruised and battered rihanna .,the photo was of a bruised and battered rihanna .,,,
who old were the children ?,nine-year-old rubina ali,the child was nine-year-old rubina ali .,the children were nine-year-old rubina ali .,,
what is the name of the film ?,""" antichrist ""","the name of the film "" antichrist "" .",,,
what 3-dimensional shape of meat does wendy 's offer ?,cube,the 3-dimensional shape of meat that wendy 's offer is a cube .,wendy 's offer cube  3-dimensional shape of meat .,,
what does deborah lipstadt do ?,dorot professor of modern jewish and holocaust studies,deborah lipstadt is a professor of modern jewish and holocaust studies .,deborah lipstadt is professor of modern jewish and holocaust studies .,,
what are republicans view on obama 's supreme court pick ?,will be unable to support moving forward,republicans view on obama 's supreme court pick will be unable to support moving forward .,republicans think obama 's supreme court pick is he will be unable to support moving forward .,,
what has n't been identified ?,victims of war,the victims of war has n't been identified .,the victims of war have n't been identified .,,
what is the price per seat offered on remaining seats ?,$10,the price per seat offered on remaining seats is $ 10 .,,,
what was the motive behind the killing ?,an affair,the motive behind the killing was an affair .,,,
how many officers were injured ?,two,two officers were injured .,,,
how much waste could be composted ?,30 percent,30 percent waste could be composted .,30 percent of waste could be composted .,,
what amount of people were wounded in the spanish trains ?,"1,800","1,800 people were wounded in the spanish trains .","1,800 amount of people were wounded in the spanish trains .",,
what is daniel planning as she embraces a possible candidacy ?,""" listening tour ""","daniel is planning the "" listening tour "" as she embraces a possible candidacy .","daniel is planning as she embraces a possible candidacy , a "" listening tour "" .",,
who stars as amelia earhart ?,hilary swank,hilary swank stars as amelia earhart .,,,
who has been in the spotlight ?,jackson family,jackson family has been in the spotlight .,,,
what was the victory ?,in the sunday vote,the victory was the sunday vote .,the victory was in the sunday vote .,,
who is the primary suspect ?,george zinkhan,the primary suspect is george zinkhan .,,,
what were stolen artworks worth ?,about 70 million francs ( $ 64 million ),stolen artworks were worth about 70 million francs ( $ 64 million ) .,about 70 million francs ( $ 64 million ) were the stolen artworks worth .,,
what did the critics say ?,"many irregularities for their allegations , including the government 's refusal to allow foreign and local monitors , the delay in tabulating ballots and discrepancies between results certified by election officials and the tallies released on television","the critics said that there were many irregularities for their allegations , including the government 's refusal to allow foreign and local monitors , the delay in tabulating ballots and the tallies released on television .","the critics say there are many irregularities for their allegations , including the government 's refusal to allow foreign and local monitors , the delay in tabulating ballots and the tallies released on television .",,
who speaks before u.s. senate commerce subcommittee ?,philip shapiro,philip shapiro speaks before u.s. senate commerce subcommittee .,,,
who was last seen just after christmas ?,stacey nicole english,stacey nicole english was last seen just after christmas .,,,
what indian official resigned over attacks ?,india 's home minister shivraj patil,india 's home minister shivraj patil resigned over attacks .,"india 's home minister , shivraj patil , resigned over the attacks .",,
what group hammering out sanctions plan ?,"the united states , china , russia , france , and britain","the united states , china , russia , france , and britain are hammering out sanctions plan .",,,
where were the four fishermen rescued ?,"near the amchitka pass , a strait that connects the blue sea to the pacific ocean","the four fishermen were rescued near the amchitka pass , a strait that connects the blue sea to the pacific ocean .","four fishermen were rescued near the amchitka pass , a strait that connects the blue sea to the pacific ocean .",,
where was there flooding ?,nepal,there was flooding in nepal,nepal was flooding .,,
what will shell might not be able to meet ?,obligations in nigeria,shell might not be able to meet obligations in nigeria .,,,
how many staff will lose their jobs ?,140,140 staff will lose their jobs .,,,
who was sayafi ?,young blogger,sayafi was a young blogger .,,,
who tops the list ?,iraqis,iraqis tops the list .,,,
who scored and produced a superb performance for the germans ?,podolski,podolski scored and produced a superb performance for the germans .,,,
tilikum makes his first appearance since killing who ?,trainer dawn brancheau,tilikum makes his first appearance since killing trainer dawn brancheau .,,,
"what can be turned into valuable , renewable resources ?",biochar 's high carbon content,"biochar 's high carbon content can be turned into valuable , renewable resources .",,,
what was obama 's electoral advantage in indiana ?,349 - 163,obama 's electoral advantage in indiana was 349 - 163 .,,,
who did al quaeda contact ?,the austrian government,al quaeda contacted the austrian government .,,,
what are reuplicans in position for ?,to bounce back,reuplicans in position are for bounce back .,reuplicans in position to bounce back .,,
how many yards away were they found from the beach ?,300,they were found 300 yards away from the beach .,they were found about 300 yards away from the beach .,they were found from the beach 300 yards away .,
what did they discuss ?,drug-trafficking,they discussed drug-trafficking .,,,
the owner says he 'll happily hand it over to who if asked ?,u.s. military officials,the owner says he 'll happily hand it over to the u.s. military officials .,the owner says he 'll happily hand it over to the u.s. military officials if asked .,,
"where do about 15,000 people stage a street demonstration ?",downtown seoul,"about 15,000 people staged a street demonstration in downtown seoul .","in downtown seoul about 15,000 people staged a street demonstration .",,
where did the disaster occur ?,eastern turkey,the disaster occurred in eastern turkey .,,,
how many cell phone novels have been sold ?,1.7 million copies,1.7 million cell phone novels have been sold .,1.7 million copies of cell phone novels have been sold .,,
from where december ` s road to durban came from ?,uk,"from december "" s road to durban came for the uk .",from uk december ` s road to durban came from .,,
who honored champions of women 's rights ?,obama joined secretary of state hillary clinton to celebrate,obama joined secretary of state hillary clinton to celebrate honored champions of women 's rights .,"obama joined secretary of state hillary clinton , honored champions of women 's rights .",,
in what city did 11.3 inches of rain fall ?,rio,11.3 inches of rain fell in rio .,,,
where did gen . donayre make anti-chile comments ?,a party at a friend 's house,gen . donayre make anti-chile comments at a party at a friend 's house .,gen . donayre made anti-chile comments at a party at a friend 's house .,,
where did the ham come from ?,""" a couple of pigs ""","the ham came from "" a couple of pigs "" .",,,
who released the papers ?,national archives,national archives released the papers .,,,
who produced the album ?,steve earle,steve earle produced the album .,,,
where did jackson fans brave downpours and hail ?,"o2 arena ,",jackson fans braved downpours and hail in o2 arena .,,,
what is the government establishing a new system for ?,of servicemen and women during and after their military careers,the government is establishing a new system for servicemen and women during and after their military careers .,,,
what did cynde strand say ?,""" i just knew this was the day it was going to end ""","cynde strand say , "" i just knew this was the day it was going to end "" .","cynde strand said, "" i just knew this was the day it was going to end "" .",,
when he will appear in the court ?,monday,he will appear in the court on monday .,on monday he will appear in court  .,,
what age is wilson ?,21-year-old,wilson is 21-year-old .,,,
what is alexander hleb 's job ?,midfielder,alexander hleb 's job is midfielder .,,,
where were the slums ?,mumbai,the slums were in mumbai .,,,
who underestimated the protests ?,mubarak,mubarak underestimated the protests .,,,
what does secondhand smoking cause ?,severe health problems,severe health problems can be caused by secondhand smoking .,secondhand smoking causes severe health problems .,,
who is at the center of allegations of mistreatment by thai army ?,dozens of rohingya refugees,dozens of rohingya refugees is at the center of allegations of mistreatment by thai army .,at the center of allegations of mistreatment by the thai army are dozens of rohingya refugees .,,
what is the number of people acquitted ?,10,the number of people acquitted is 10 .,,,
how many people were killed ?,307,about 307 people were killed .,307 people were killed .,,
who was it thought that junta should have released ?,aun sung suu kyi and other opposition leaders,it was thought that junta should have released aun sung suu kyi and other opposition leaders .,it was thought that the junta should have released aun sung suu kyi and other opposition leaders .,,
how many homes were illegally built ?,20,20 homes were illegally built .,,,
what official is being quoted about this situation ?,michael friel .,michael friel is being quoted about this situation .,,,
"when will chris brown 's song "" not my fault "" appear ?",tuesday,"chris brown 's song "" not my fault "" will appear on tuesday .","on tuesday , chris brown 's song "" not my fault "" will appear .",,
how much aid did cuba reject ?,$ 5 million,cuba rejected $ 5 million in aid .,cuba rejected $ 5 million .,,
what fell into the river ?,crippled us airways jetliner,the crippled us airways jetliner fell into the river .,a crippled us airways jetliner fell into the river .,crippled us airways jetliner fell into the river .,
what is the punishment for stealing a cow ?,amputations,the punishment for stealing a cow is amputations .,,,
which teams lost to united ?,roma,roma lost to united .,,,
what tourist had the ipads seized ?,israelis,israelis had the ipads seized .,,,
what does the social network want him to change his name to ?,ahmed,the social network wants him to change his name to ahmed,the social network does want him to change his name to ahmed.,,
which is the name of this man ?,michael david barrett,the name of this man is michael david barrett .,,,
where is she from ?,boston,she is from boston .,,,
who was ronald cummings ' girlfriend when haleigh went missing ?,misty,ronald cummings ' girlfriend when haleigh went missing was misty .,ronald cummings ' girlfriend was misty when haleigh went missing .,,
when was amber last seen ?,"walking alone to school on february 13 , 2009","amber was last seen walking alone to school on february 13 , 2009 .",,,
what are u.s. vessels at mercy of ?,pirates,u.s. vessels are at the mercy of pirates .,,,
what do reports accuse isreal of ?,war crimes during its military offensive in gaza last winter,reports accuse isreal of war crimes during its military offensive in gaza last winter .,reports have accused it of war crimes during its military offensive in gaza last winter .,,
under which rule was the papers released ?,30-year,the papers was released under 30-year rule,the papers were released under 30-year rule .,,
what study suggested only 20 % was recycled safely ?,greenpeace,greenpeace suggested only 20 % was recycled safely .,greenpeace study suggested only 20 % was recycled safely .,,
who have drawn ocriticizm from muslim groups ?,sania mirza,sania mirza have drawn ocriticizm from muslim groups .,sania mirza has drawn ocriticizm from muslim groups .,,
what did ocampo say should be added to al-bashir 's charges ?,genocide,ocampo said genocide should be added to al-bashir 's charges .,,,
how many girls were returned to their families ?,eight or nine young,eight or nine young girls were returned to their families .,,,
who did obama receive endorsement from ?,robert reich,obama received endorsement from robert reich .,obama received an endorsement from robert reich .,,
at least how many were wounded in the fighting ?,80,at least 80 were wounded in the fighting .,at least 80 people were wounded in the fighting .,,
who anticipated slaying by government forces ?,lasantha wickrematunga .,lasantha wickrematunga anticipated slaying by government forces .,,,
what is ' biochar ' ?,a highly porous charcoal made from organic waste ., biochar ' is a highly porous charcoal made from organic waste .,biochar is a highly porous charcoal made from organic waste .,,
where did the video appear ?,youtube,the video appeared on youtube .,,,
where is the storm expected to move ?,north-northwest motion and approach the southwestern tip of baja california,the storm is expected to move in a north-northwest motion and approach the southwestern tip of baja california .,the storm is expected to move north-northwest and approach the southwestern tip of baja california .,,
whom do the new mothers feed ?,several infants who were separated from their mothers or orphaned,the new mothers feed several infants who were separated from their mothers or orphaned .,,,
removal of which item of clothing is expected to remain in place at security ?,shoes,removal of shoes is expected to remain in place at security .,removal of shoes item of clothing is expected to remain in place at security .,,
what does he plan to study in college ?,sociology,he plans to study sociology in college .,he does plan to study sociology in college .,,
"how much did j.j. abrams ' "" star trek "" gross from friday to sunday ?",$ 72.5 million,"j.j. abrams ' "" star trek "" gross from friday to sunday was $ 72.5 million .","j.j. abrams ' "" star trek "" grossed $ 72.5 million from friday to sunday .",,
what was isaac toussie involve in ?,long island mortgage fraud scheme .,isaac toussie was involved in the long island mortgage fraud scheme .,isaac toussie was involve in long island mortgage fraud scheme .,,
who nomiated mukasey ?,president bush,president bush nomiated mukasey .,,,
what did researchers say was the starting point ?,bluestonehenge,researchers said that the starting point was bluestonehenge .,,,
who sang for a pepsi-cola commercial in 1984 ?,michael jackson,michael jackson sang for a pepsi-cola commercial in 1984 .,,,
whose program includes a speech from a former prostitute ?,john school,john school 's program includes a speech from a former prostitute .,john school program includes a speech from a former prostitute .,,
who is lang lang ?,chinese child prodigy,lang lang is a chinese child prodigy .,,,
what did russian officials allow cnn to see ?,copy of a letter addressed,russian officials allowed cnn to see a copy of the letter addressed .,russian officials allow cnn to see a copy of a letter addressed .,,
what is the age of president ?,58,the president is 58 years of age .,the age of president is 58 .,,
who was fined by thai court ?,dozens of rohingya refugees from myanmar,dozens of rohingya refugees from myanmar was fined by thai court .,dozens of rohingya refugees from myanmar were fined by thai court .,,
what is the name of the new system ?,the joint virtual lifetime electronic record,the name of the new system is the joint virtual lifetime electronic record .,,,
what is india considering ?,suspending the five-year-old cease-fire with pakistan,india is considering suspending the five-year-old cease-fire with pakistan .,,,
what is the name of the remote-controlled machine that sent back video from the tasman fracture ?,jason,jason is the name of the remote-controlled machine that can sent back video from the tasman fracture .,the name of the remote-controlled machine that sent back video from the tasman fracture is jason .,,
who unveils the proposal ?,sepp blatter,sepp blatter unveils the proposal .,,,
what was voted as britain 's ugliest building ?,the bullring shopping centre in birmingham,the bullring shopping centre in birmingham was voted as britain 's ugliest building .,,,
what is mentally competent ?,21-year-old idaho man charged with trying to assassinate president obama,the 21-year-old idaho man charged with trying to assassinate president obama is mentally competent .,mentally competent is a 21-year-old idaho man charged with trying to assassinate president obama .,,
who used her own name ?,his wife,his wife used her own name .,,,
who announced he will run for president ?,"sen . benigno "" noynoy "" aquino iii","sen . benigno "" noynoy "" aquino iii announced he will run for president .",,,
what did seymore say we want to relive ?,"michael jackson 's youth ,",seymore said that we want to relive michael jackson 's youth .,michael jackson 's youth said seymore that we want to relive .,,
what does batt believe is beneficial ?,""" we have to work toward acceptance on all levels , ""","batt believes that "" we have to work toward acceptance on all levels "" is beneficial .",""" we have to work toward acceptance on all levels , "" batt believe is beneficial .",,
who runs the celebrity 100 list ?,forbes,forbes runs the celebrity 100 list .,,,
what did the posts say about islam ?,""" loneliness leads me to other problems ""","the posts said "" loneliness leads me to other problems "" .","the posts say about islam "" loneliness leads me to other problems "" .",,
what is education the key to ?,a medical school,education is the key to a medical school .,,,
what advantage will january shoppers have ?,rock-bottom prices,january shoppers have rock-bottom prices .,"in january , shoppers have rock-bottom prices .",rock-bottom prices advantage will january shoppers have .,
what was the world 's ugliest building on the forbes list ?,the bullring shopping centre,the bullring shopping centre was the world 's ugliest building on the forbes list .,the world 's ugliest building on the forbes list was the bullring shopping centre .,,
how long is the cable ?,"17,000 kilometer","the cable is 17,000 kilometer .",,,
what is the rule ?,"containers no larger than 3 ounces are allowed in carry-on luggage , provided they are packed into one quart-size clear plastic zip-top bag , with one bag allowed per person .","the rule is that containers no larger than 3 ounces are allowed in carry-on luggage , with one bag allowed per person .","The rule is that containers no larger than 3 ounces are allowed in carry-on luggage , provided they are packed into one quart-size clear plastic zip-top bag , with one bag allowed per person .",,
who pleaded guilty to illegally entering senator 's office ?,james o 'keefe,james o 'keefe pleaded guilty to illegally entering senator 's office .,James o 'keefe pleaded guilty to illegally entering the senator 's office .,,
how many strollers were affected by the recall ?,one million,one million strollers were affected by the recall .,,,
in which publication did the article appear ?,wednesday 's wall street journal,the article appeared in wednesday 's wall street journal .,,,
what does abby miller do ?,sings for her friend taylor love,abby miller sings for her friend taylor love .,,,
what kind of treatment is there for a silent heart attack ?,"beta blockers , statin drugs , aspirin or other medications","there is beta blockers , statin drugs , aspirin or other medications , for a silent heart attack .","treatment for a silent heart attack are beta blockers , statin drugs , aspirin or other medications .",,
what is the rating of sixth album ?,"flat , but a hit with teens","the rating of sixth album is flat , but a hit with teens .","The rating of the sixth album is flat , but a hit with the teens .",,
what kind of clothes did renee zellweger wear for her role ?,from the early 50s,renee zellweger wear clothes from the early ' 50s for her role .,,,
where did errol barnett have an encounter with a bull elephant ?,mosi-oa-tunya national park in zambia,errol barnett had an encounter with a bull elephant in zambia .,Errol Barnett had an encounter with a bull elephant at mosi-oa-tunya national park in Zambia .,,
where was the system previously tested ?,"several u.s. airports including minneapolis-st . paul , minnesota ; denver , colorado ; and boston , massachusetts","the system was previously tested at several u.s. airports including minneapolis-st . paul , minnesota ; denver , colorado , colorado ; and boston , massachusetts .",,,
what was the death toll ?,90,the death toll was 90 .,,,
who was attacked ?,rihanna,rihanna was attacked .,,,
